contributor,feat_NA,feat_NT,feat_NR,feat_NOR,feat_ORR,DCA_mean,DCA_median,DCA_std,DCA_gini,DCA_IQR,NAR_mean,NAR_median,NAR_std,NAR_gini,NAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NTR_IQR,NCAR_mean,NCAR_median,NCAR_std,NCAR_gini,NCAR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_gini,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR,acc_type
564957,279,12,36,19,0.528,5.037,0.179,14.952,0.867,1.655,7.75,2.5,10.258,0.621,7.5,2.222,1.0,1.742,0.381,2.0,2.607,1.0,3.602,0.502,1.0,3.52,0.0,12.342,0.816,0.208,9.656,0.62,21.344,0.796,9.651,6.367,0.261,17.345,0.845,3.486,23.25,9.0,45.11,0.67,13.5,human
644798,90,9,10,5,0.5,24.042,2.777,40.382,0.735,26.302,9.0,4.0,14.236,0.636,6.5,2.1,2.0,1.101,0.252,0.75,2.432,2.0,2.23,0.403,2.0,22.965,0.006,66.356,0.78,8.825,35.835,18.872,44.562,0.632,70.203,24.205,2.76,39.917,0.725,25.717,10.0,1.0,20.543,0.743,2.0,human
788433,107,14,12,5,0.417,17.731,0.366,41.851,0.81,16.68,8.917,3.0,13.014,0.627,7.0,2.417,2.0,2.109,0.388,1.25,2.548,2.0,2.051,0.372,2.0,24.995,0.016,78.898,0.824,5.606,20.238,0.837,34.79,0.76,24.922,12.273,0.069,25.356,0.815,15.414,7.643,2.5,17.818,0.707,2.75,human
456864,219,11,3,2,0.667,4.509,0.073,16.752,0.906,0.639,73.0,1.0,124.708,0.658,108.0,4.0,1.0,5.196,0.5,4.5,43.8,3.0,71.618,0.69,46.0,195.957,1.995,295.441,0.452,311.276,0.789,0.487,0.944,0.535,0.875,7.327,0.259,22.439,0.878,2.006,19.909,8.0,29.348,0.632,12.5,human
576789,143,13,22,16,0.727,15.014,0.14,50.673,0.886,3.013,6.5,2.0,14.959,0.67,5.75,2.045,2.0,1.759,0.34,1.0,3.25,1.0,5.168,0.565,2.0,14.76,0.0,75.04,0.874,1.036,34.478,12.489,60.911,0.717,38.599,19.07,0.219,47.94,0.828,15.455,11.0,6.0,16.971,0.621,7.0,human
793567,109,11,19,10,0.526,20.191,0.023,56.878,0.881,2.503,5.737,4.0,7.4,0.524,3.5,2.895,2.0,1.761,0.318,2.5,2.659,2.0,3.095,0.459,1.0,3.026,0.0,10.611,0.852,0.032,51.413,5.911,84.919,0.731,64.901,21.83,0.026,60.766,0.883,1.922,9.909,9.0,8.336,0.45,14.0,human
754678,200,10,9,7,0.778,9.654,0.05,40.921,0.926,0.75,22.222,1.0,48.943,0.793,2.0,2.333,1.0,2.5,0.444,1.0,20.0,2.0,31.027,0.69,30.5,83.331,0.05,140.791,0.484,134.542,120.87,71.39,142.494,0.576,151.452,10.732,0.032,45.673,0.931,0.493,20.0,14.0,24.422,0.562,26.0,human
545978,8,4,5,3,0.6,244.076,0.041,384.993,0.704,397.649,1.6,1.0,1.342,0.3,0.0,1.4,1.0,0.894,0.229,0.0,1.6,1.0,1.342,0.3,0.0,0.015,0.0,0.034,0.0,0.0,427.114,397.675,438.414,0.483,647.605,206.251,0.034,398.429,0.754,118.099,2.0,2.0,1.155,0.25,2.0,human
643765,272,15,21,10,0.476,1.325,0.06,5.507,0.899,0.337,12.952,2.0,26.515,0.725,11.0,3.381,1.0,3.853,0.518,3.0,3.238,2.0,3.4,0.462,3.0,1.125,0.0,4.834,0.875,0.076,3.187,0.27,8.507,0.827,1.339,1.477,0.055,5.771,0.897,0.338,18.133,14.0,20.266,0.504,12.5,human
948584,243,15,35,27,0.771,3.395,0.276,6.342,0.784,3.017,6.943,1.0,17.969,0.753,1.5,1.914,1.0,2.344,0.419,0.0,2.15,1.0,3.701,0.448,1.0,1.755,0.0,5.868,0.756,0.128,5.566,0.884,7.814,0.689,8.359,4.032,0.364,6.651,0.747,4.863,16.2,6.0,25.152,0.628,9.5,human
567587,9,3,1,1,1.0,0.207,0.161,0.24,0.48,0.094,9.0,9.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,1.66,1.66,0.0,0.0,0.0,,,0.0,0.0,,0.19,0.19,0.037,0.068,0.026,3.0,1.0,3.464,0.444,3.0,human
456333,192,13,26,3,0.115,10.292,0.016,53.993,0.959,0.107,7.385,1.5,15.49,0.733,1.75,2.231,1.0,2.338,0.438,1.0,4.0,1.0,7.116,0.623,2.25,6.239,0.0,24.111,0.856,0.007,35.451,0.038,104.091,0.896,0.607,13.212,0.013,62.15,0.952,0.125,14.769,9.0,16.513,0.528,19.0,human
476793,11,8,7,6,0.857,174.571,9.329,378.059,0.808,98.466,1.571,1.0,0.787,0.234,1.0,1.571,1.0,0.787,0.234,1.0,1.375,1.0,0.744,0.216,0.25,0.008,0.0,0.023,0.467,0.001,249.377,41.928,438.897,0.726,233.168,153.119,0.083,394.484,0.847,41.9,1.375,1.0,0.744,0.216,0.25,human
839779,20,3,9,9,1.0,113.576,79.661,125.491,0.56,147.736,2.222,1.0,3.667,0.489,0.0,1.0,1.0,0.0,0.0,0.0,1.667,1.0,2.015,0.358,0.0,14.921,0.0,50.665,0.482,0.0,179.899,143.738,125.813,0.358,131.789,141.112,115.286,114.96,0.358,73.459,6.667,6.0,5.033,0.333,5.0,human
786966,204,5,78,4,0.051,0.116,0.0,0.935,0.982,0.0,2.615,2.0,1.479,0.197,0.0,2.077,2.0,0.504,0.048,0.0,2.082,2.0,0.769,0.094,0.0,0.0,0.0,0.001,0.392,0.0,0.242,0.001,1.344,0.967,0.001,0.12,0.0,0.951,0.982,0.0,40.8,3.0,52.685,0.571,95.0,human
