,contributor,feat_NA,feat_NT,feat_NR,feat_NOR,feat_ORR,DCA_mean,DCA_median,DCA_std,DCA_gini,DCA_IQR,NAR_mean,NAR_median,NAR_std,NAR_gini,NAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NTR_IQR,NCAR_mean,NCAR_median,NCAR_std,NCAR_gini,NCAR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_gini,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR,acc_type
148,biocontainers-bot,56,3,2,2,1.0,32.708,0.096,144.335,0.926,1.46,28.0,28.0,14.142,0.179,10.0,1.5,1.5,0.707,0.167,0.5,4.0,2.0,3.397,0.411,2.75,34.764,0.093,92.999,0.784,2.266,100.942,2.415,280.944,0.853,61.836,57.085,0.222,213.697,0.893,2.791,18.667,9.0,16.743,0.345,14.5,bot
149,bitrise-devs-bot,116,5,4,2,0.5,17.712,0.013,38.7,0.813,6.562,29.0,30.5,28.437,0.44,47.0,1.5,1.0,1.0,0.25,0.5,1.172,1.0,0.379,0.121,0.0,3.626,0.0,17.043,0.728,0.0,17.121,0.001,39.104,0.823,3.044,17.121,0.001,39.104,0.823,3.044,23.2,9.0,26.948,0.534,51.0,bot
150,bits-bot,300,1,3,2,0.667,6.753,2.304,10.809,0.706,9.372,100.0,47.0,108.669,0.438,98.5,1.0,1.0,0.0,0.0,0.0,2.703,1.0,2.977,0.47,2.0,7.443,0.0,14.719,0.588,8.023,10.845,6.625,13.208,0.568,10.4,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0,bot
151,bloggerbust-bot,30,3,1,1,1.0,71.858,0.0,131.934,0.659,39.822,30.0,30.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,2083.881,2083.881,0.0,0.0,0.0,,,0.0,0.0,,73.495,0.0,134.055,0.647,74.032,10.0,10.0,0.0,0.0,0.0,bot
154,bluespice-github-bot,300,1,1,1,1.0,2.55,0.999,5.663,0.703,2.004,300.0,300.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,762.508,762.508,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0,bot
155,blueztestbot,298,6,3,2,0.667,1.607,0.049,5.424,0.901,0.292,99.333,40.0,131.458,0.541,121.0,3.667,4.0,0.577,0.061,0.5,7.842,3.5,9.945,0.575,10.5,6.933,0.536,13.937,0.735,3.948,5.779,1.662,9.365,0.707,5.455,3.696,0.016,8.155,0.826,2.587,49.667,32.5,72.37,0.595,24.75,bot
160,boegelbot,300,1,2,1,0.5,0.876,0.08,2.438,0.837,0.494,150.0,150.0,209.304,0.493,148.0,1.0,1.0,0.0,0.0,0.0,60.0,51.0,78.25,0.581,54.0,48.269,44.098,59.401,0.28,51.902,5.139,1.95,7.545,0.613,5.961,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0,bot
164,bors,240,4,7,2,0.286,0.108,0.006,0.236,0.8,0.074,34.286,23.0,35.013,0.433,12.0,2.714,3.0,1.254,0.226,1.5,2.069,1.0,1.575,0.351,2.0,0.117,0.0,0.291,0.716,0.018,0.107,0.018,0.227,0.777,0.09,0.049,0.001,0.178,0.892,0.018,60.0,53.0,52.789,0.421,59.0,bot
165,bors-servo,299,3,2,1,0.5,6.853,2.984,12.241,0.65,7.147,149.5,149.5,202.94,0.48,143.5,2.0,2.0,1.414,0.25,1.0,99.667,6.0,164.84,0.64,143.5,675.391,6.01,1164.174,0.664,1009.578,7.985,7.985,0.839,0.037,0.593,3.195,0.001,4.394,0.615,7.391,99.667,3.0,169.167,0.656,147.0,bot
166,bot-dcapt,64,3,1,1,1.0,13.052,0.0,65.439,0.915,0.001,64.0,64.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,64.0,64.0,0.0,0.0,0.0,822.283,822.283,0.0,0.0,0.0,,,0.0,0.0,,15.495,0.0,73.668,0.91,0.036,21.333,16.0,9.238,0.167,8.0,bot
167,bot-gradle,290,8,2,1,0.5,0.566,0.001,1.826,0.841,0.437,145.0,145.0,203.647,0.497,144.0,4.0,4.0,4.243,0.375,3.0,96.667,107.0,90.941,0.416,90.5,54.283,26.542,72.263,0.337,68.153,0.329,0.329,0.406,0.437,0.287,0.617,0.001,2.111,0.869,0.366,36.25,33.5,35.604,0.498,45.75,bot
169,botcerts,122,4,4,2,0.5,16.495,0.001,96.55,0.967,0.001,30.5,30.5,30.293,0.455,48.5,2.5,3.0,1.0,0.15,0.5,13.556,6.0,13.106,0.488,18.0,144.359,1.122,275.091,0.735,170.507,87.079,2.279,222.657,0.838,21.31,39.916,0.009,147.902,0.921,1.992,30.5,16.5,39.026,0.537,22.5,bot
175,brainzbot,17,1,2,1,0.5,117.084,0.005,180.623,0.718,191.405,8.5,8.5,10.607,0.441,7.5,1.0,1.0,0.0,0.0,0.0,5.667,5.0,5.033,0.392,5.0,408.425,481.454,377.25,0.107,371.911,324.036,324.036,87.194,0.095,61.656,,,0.0,0.0,,17.0,17.0,0.0,0.0,0.0,bot
178,branoholy-bot,177,5,1,1,1.0,11.461,0.0,38.026,0.913,0.03,177.0,177.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,177.0,177.0,0.0,0.0,0.0,2017.095,2017.095,0.0,0.0,0.0,,,0.0,0.0,,10.799,0.0,37.019,0.917,0.03,35.4,32.0,8.532,0.115,15.0,bot
183,broadbot,278,7,29,3,0.103,0.942,0.006,4.496,0.907,0.249,9.586,6.0,9.187,0.468,8.0,2.172,2.0,1.256,0.28,1.0,2.317,2.0,2.563,0.368,1.0,0.171,0.0,1.259,0.922,0.002,2.019,0.321,6.605,0.844,1.013,1.175,0.001,5.264,0.916,0.094,39.714,32.0,33.599,0.412,41.0,bot
188,bsig-gh-bot,6,2,2,2,1.0,168.027,0.0,233.519,0.378,363.601,3.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.2,1.0,0.447,0.133,0.0,72.72,0.0,162.607,0.0,0.0,119.133,0.0,238.266,0.5,119.133,119.133,0.0,238.266,0.5,119.133,3.0,3.0,0.0,0.0,0.0,bot
189,bt-admin,162,4,34,1,0.029,0.057,0.009,0.191,0.86,0.011,4.765,2.0,9.86,0.579,2.0,1.765,2.0,0.554,0.149,1.0,4.765,2.0,9.86,0.579,2.0,0.036,0.01,0.132,0.759,0.009,0.241,0.062,0.37,0.681,0.191,0.056,0.009,0.189,0.854,0.011,40.5,46.0,34.113,0.386,51.5,bot
190,bud-ci-bot,15,1,1,1,1.0,147.525,37.145,249.562,0.69,133.182,15.0,15.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,2065.345,2065.345,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,15.0,15.0,0.0,0.0,0.0,bot
191,bugsnagbot,73,2,5,1,0.2,29.065,17.705,36.048,0.616,37.701,14.6,10.0,16.149,0.499,11.0,1.0,1.0,0.0,0.0,0.0,1.622,1.0,1.193,0.298,1.0,14.544,0.0,37.815,0.608,1.358,32.687,19.394,39.474,0.608,42.114,36.676,21.884,42.503,0.594,63.743,36.5,36.5,30.406,0.295,21.5,bot
192,build-travis-ci,226,5,1,1,1.0,9.395,0.001,23.499,0.841,4.297,226.0,226.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,226.0,226.0,0.0,0.0,0.0,2113.967,2113.967,0.0,0.0,0.0,,,0.0,0.0,,14.23,1.255,28.621,0.743,17.226,45.2,27.0,41.71,0.404,18.0,bot
196,c2c-bot-gis-ci,271,5,19,2,0.105,2.081,0.007,7.255,0.906,0.158,14.263,4.0,22.308,0.632,12.0,2.526,3.0,1.073,0.221,1.5,2.022,2.0,1.624,0.326,1.0,1.124,0.0,7.718,0.959,0.003,3.093,0.118,8.01,0.846,2.009,2.867,0.001,9.195,0.889,0.125,54.2,61.0,57.155,0.5,57.0,bot
198,cake-contrib-bot,300,4,7,3,0.429,5.222,2.315,5.576,0.55,11.991,42.857,26.0,43.276,0.472,37.5,1.286,1.0,0.488,0.159,0.5,1.449,1.0,1.173,0.266,0.0,3.975,0.0,13.925,0.695,0.0,3.586,0.059,4.919,0.67,7.847,2.151,0.001,4.525,0.816,0.014,75.0,22.0,106.668,0.535,53.5,bot
200,callstack-bot,40,1,1,1,1.0,54.474,34.741,58.605,0.549,56.576,40.0,40.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,2124.491,2124.491,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,40.0,40.0,0.0,0.0,0.0,bot
201,candlepin-bot,15,2,3,1,0.333,46.503,0.194,135.655,0.881,1.223,5.0,3.0,4.359,0.356,4.0,1.333,1.0,0.577,0.167,0.5,1.5,1.5,0.527,0.167,1.0,0.0,0.0,0.0,0.0,0.0,72.338,0.207,166.737,0.828,22.348,50.49,0.084,159.394,0.888,0.198,7.5,7.5,3.536,0.167,2.5,bot
202,carbon-bot,207,3,6,1,0.167,10.718,7.339,9.784,0.472,21.59,34.5,24.0,33.008,0.463,32.5,1.5,1.0,0.837,0.241,0.75,1.769,1.0,1.22,0.316,1.0,9.8,0.0,24.219,0.605,2.302,9.15,6.323,8.173,0.495,16.26,4.316,0.115,8.129,0.706,2.147,69.0,17.0,98.853,0.567,88.0,bot
205,carsonbot,40,4,1,1,1.0,4.787,1.111,6.188,0.642,9.31,40.0,40.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,186.696,186.696,0.0,0.0,0.0,,,0.0,0.0,,4.168,2.74,4.405,0.536,4.662,10.0,6.5,10.863,0.488,12.5,bot
207,cb-robot,300,2,7,3,0.429,0.74,0.313,1.386,0.638,0.636,42.857,19.0,66.416,0.658,40.0,1.286,1.0,0.488,0.159,0.5,1.948,1.0,1.676,0.354,1.0,0.776,0.0,2.614,0.708,0.353,0.665,0.283,1.467,0.655,0.486,0.323,0.006,0.636,0.739,0.32,150.0,150.0,206.475,0.487,146.0,bot
208,cb-sdk-robot,9,1,2,2,1.0,253.002,81.359,385.506,0.667,210.218,4.5,4.5,4.95,0.389,3.5,1.0,1.0,0.0,0.0,0.0,3.0,3.0,2.0,0.296,2.0,329.063,48.217,528.747,0.451,469.486,518.411,518.411,731.114,0.499,516.976,,,0.0,0.0,,9.0,9.0,0.0,0.0,0.0,bot
210,ccextractor-bot,68,1,1,1,1.0,20.671,0.423,68.365,0.889,3.711,68.0,68.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,68.0,68.0,0.0,0.0,0.0,1384.967,1384.967,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,68.0,68.0,0.0,0.0,0.0,bot
211,ccf-bot,268,4,1,1,1.0,7.847,1.634,15.686,0.75,6.969,268.0,268.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,268.0,268.0,0.0,0.0,0.0,2095.182,2095.182,0.0,0.0,0.0,,,0.0,0.0,,5.3,0.52,11.814,0.798,3.392,67.0,16.0,104.684,0.593,53.0,bot
213,cd-red-bot,202,4,8,1,0.125,10.03,0.001,39.21,0.93,0.006,25.25,26.0,2.435,0.05,2.75,2.625,2.5,0.744,0.137,1.0,1.924,2.0,0.432,0.063,0.0,0.173,0.0,1.767,0.984,0.0,19.211,0.005,52.973,0.88,0.01,9.231,0.001,37.592,0.934,0.005,50.5,50.5,44.276,0.411,67.0,bot
218,cernvm-bot,146,1,1,1,1.0,14.531,1.259,33.509,0.81,14.076,146.0,146.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,146.0,146.0,0.0,0.0,0.0,2106.996,2106.996,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,146.0,146.0,0.0,0.0,0.0,bot
219,cf-ci-bot,293,6,14,2,0.143,4.551,0.401,11.236,0.808,3.329,20.929,8.5,31.544,0.637,21.25,1.786,1.0,0.975,0.266,2.0,3.052,2.0,3.492,0.462,2.25,2.039,0.001,5.484,0.788,0.567,11.929,5.404,17.138,0.629,15.055,6.353,0.403,12.321,0.756,6.751,48.833,23.0,44.016,0.408,53.0,bot
220,cf-gitbot,143,2,37,3,0.081,0.595,0.013,2.547,0.903,0.204,3.865,3.0,4.68,0.481,3.0,1.0,1.0,0.0,0.0,0.0,2.383,1.0,2.591,0.421,2.0,0.044,0.0,0.152,0.82,0.008,1.387,0.219,3.827,0.802,1.241,0.073,0.073,0.029,0.143,0.021,71.5,71.5,99.702,0.493,70.5,bot
221,cfpbot,66,2,1,1,1.0,33.826,11.864,59.826,0.702,26.796,66.0,66.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,66.0,66.0,0.0,0.0,0.0,2198.658,2198.658,0.0,0.0,0.0,,,0.0,0.0,,38.951,38.951,49.216,0.447,34.801,33.0,33.0,45.255,0.485,32.0,bot
222,cgeo-ci-bot,298,5,1,1,1.0,0.722,0.0,5.856,0.984,0.0,298.0,298.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,298.0,298.0,0.0,0.0,0.0,214.453,214.453,0.0,0.0,0.0,,,0.0,0.0,,14.897,0.048,28.669,0.771,1.645,59.6,2.0,129.917,0.783,1.0,bot
223,chainer-ci,55,3,4,2,0.5,33.41,2.113,72.147,0.757,33.264,13.75,11.5,14.728,0.495,21.75,1.5,1.5,0.577,0.167,1.0,1.341,1.0,0.794,0.214,0.0,18.914,0.0,45.321,0.378,0.0,25.717,0.001,77.317,0.85,12.269,33.196,0.464,76.858,0.784,30.188,18.333,22.0,7.234,0.158,6.5,bot
227,chaoticthebot,76,1,2,1,0.5,7.265,3.177,9.046,0.614,13.95,38.0,38.0,52.326,0.487,37.0,1.0,1.0,0.0,0.0,0.0,25.333,35.0,21.221,0.342,19.5,174.966,262.315,151.525,0.0,131.292,9.978,9.978,11.397,0.404,8.059,,,0.0,0.0,,76.0,76.0,0.0,0.0,0.0,bot
229,cheminfo-bot,228,6,9,2,0.222,5.268,0.458,7.655,0.687,7.824,25.333,11.0,31.393,0.543,17.0,3.778,5.0,1.922,0.255,3.0,2.78,1.5,2.671,0.441,3.0,6.266,0.0,15.979,0.734,1.353,8.42,6.618,5.711,0.384,8.771,1.083,0.011,2.745,0.854,0.262,38.0,24.0,46.523,0.49,5.0,bot
230,cherbot,241,3,2,2,1.0,4.238,0.011,20.252,0.92,2.015,120.5,120.5,43.134,0.127,30.5,2.0,2.0,1.414,0.25,1.0,1.346,1.0,2.099,0.251,0.0,1.346,0.0,8.126,0.459,0.0,4.36,0.001,23.489,0.966,0.022,4.396,0.002,23.045,0.964,0.024,80.333,90.0,17.616,0.086,15.5,bot
231,chesirebot,9,2,1,1,1.0,108.473,1.293,253.641,0.832,36.13,9.0,9.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,867.786,867.786,0.0,0.0,0.0,,,0.0,0.0,,138.218,138.218,0.0,0.0,0.0,4.5,4.5,4.95,0.389,3.5,bot
239,chrome-gnome-shell-bot,158,4,1,1,1.0,14.006,2.167,27.571,0.736,16.834,158.0,158.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,158.0,158.0,0.0,0.0,0.0,2199.0,2199.0,0.0,0.0,0.0,,,0.0,0.0,,12.129,0.168,29.352,0.81,11.583,39.5,17.5,53.395,0.551,31.0,bot
240,chromium-wpt-export-bot,208,5,1,1,1.0,0.438,0.136,1.71,0.777,0.398,208.0,208.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,208.0,208.0,0.0,0.0,0.0,90.566,90.566,0.0,0.0,0.0,,,0.0,0.0,,0.225,0.032,0.405,0.7,0.307,41.6,36.0,29.636,0.304,14.0,bot
243,circleci-deploy-bot,8,2,1,1,1.0,219.391,0.074,500.89,0.821,95.549,8.0,8.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,1535.739,1535.739,0.0,0.0,0.0,,,0.0,0.0,,219.391,0.074,500.89,0.821,95.549,4.0,4.0,0.0,0.0,0.0,bot
244,cisagovbot,241,3,98,1,0.01,5.284,0.001,37.788,0.98,0.002,2.459,2.0,1.451,0.304,2.0,2.143,2.0,0.885,0.219,2.0,1.674,2.0,0.708,0.22,1.0,0.002,0.001,0.011,0.64,0.002,8.866,0.001,48.697,0.969,0.004,7.12,0.002,44.25,0.973,0.002,80.333,80.0,1.528,0.008,1.5,bot
246,clarin-bot,56,4,2,1,0.5,24.502,0.001,60.663,0.811,10.928,28.0,28.0,15.556,0.196,11.0,2.0,2.0,1.414,0.25,1.0,5.091,3.0,5.049,0.448,2.0,80.637,0.006,189.56,0.809,17.222,46.06,39.261,36.528,0.417,60.81,24.88,0.0,58.985,0.77,15.809,14.0,13.0,2.0,0.054,1.0,bot
247,clarobot,17,1,1,1,1.0,103.37,51.644,105.335,0.54,158.823,17.0,17.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,1653.922,1653.922,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,17.0,17.0,0.0,0.0,0.0,bot
248,classybot,214,5,5,2,0.4,3.042,0.001,8.128,0.88,0.019,42.8,3.0,56.34,0.583,102.0,1.8,1.0,1.095,0.267,2.0,4.038,4.0,1.126,0.114,0.0,0.461,0.002,3.292,0.975,0.0,11.993,3.66,12.465,0.53,23.952,3.067,0.001,8.181,0.879,0.003,42.8,13.0,52.021,0.557,96.0,bot
249,clearlydefinedbot,300,4,1,1,1.0,0.983,0.0,4.707,0.928,0.005,300.0,300.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,293.773,293.773,0.0,0.0,0.0,,,0.0,0.0,,0.928,0.0,4.636,0.931,0.005,75.0,75.5,6.164,0.038,4.5,bot
250,cloud-foundation-bot,121,4,1,1,1.0,18.178,12.289,23.748,0.596,23.005,121.0,121.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,121.0,121.0,0.0,0.0,0.0,2181.323,2181.323,0.0,0.0,0.0,,,0.0,0.0,,16.246,4.513,25.053,0.67,23.976,30.25,14.5,40.999,0.56,23.25,bot
251,cloudalchemybot,300,1,10,1,0.1,2.408,0.0,7.222,0.9,0.0,30.0,30.0,0.816,0.014,1.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.408,0.0,7.222,0.9,0.0,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0,bot
253,cloudpossebot,193,6,17,4,0.235,2.193,0.002,4.753,0.779,1.595,11.353,2.0,33.597,0.783,1.0,1.765,2.0,0.831,0.243,1.0,3.939,2.0,5.218,0.527,3.0,4.119,0.001,13.344,0.862,0.013,4.566,3.044,4.382,0.494,6.164,2.386,0.002,5.026,0.759,2.246,32.167,32.5,27.316,0.427,40.0,bot
254,cloudwanbot,65,2,3,1,0.333,32.959,0.06,131.723,0.871,20.719,21.667,15.0,14.224,0.267,13.0,2.0,2.0,0.0,0.0,0.0,3.421,2.0,2.09,0.287,2.0,24.138,0.0,51.488,0.782,3.88,91.707,23.421,237.926,0.766,56.113,32.16,0.0,134.473,0.883,17.94,32.5,32.5,0.707,0.008,0.5,bot
255,cmsbuild,216,4,7,2,0.286,0.054,0.023,0.07,0.62,0.065,30.857,32.0,30.317,0.504,46.5,1.714,1.0,0.951,0.262,1.5,1.862,1.0,2.543,0.373,1.0,0.061,0.0,0.352,0.862,0.007,0.039,0.022,0.044,0.553,0.053,0.03,0.012,0.033,0.545,0.046,54.0,36.5,57.971,0.468,37.0,bot
256,cmsdmwmbot,300,3,3,1,0.333,2.787,0.164,9.553,0.876,0.927,100.0,69.0,68.942,0.282,63.5,1.667,1.0,1.155,0.267,1.0,4.688,2.0,5.267,0.535,6.0,6.478,0.445,18.622,0.789,2.128,6.647,2.278,13.816,0.72,7.579,1.507,0.031,6.188,0.909,0.164,100.0,93.0,55.83,0.247,55.5,bot
258,cocoapodsbot,300,1,1,1,1.0,0.08,0.037,0.122,0.624,0.072,300.0,300.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,23.852,23.852,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0,bot
259,cocos-robot,55,3,2,2,1.0,27.611,0.004,77.165,0.883,1.354,27.5,27.5,0.707,0.009,0.5,1.5,1.5,0.707,0.167,0.5,1.058,1.0,0.235,0.051,0.0,4.147,0.0,23.564,0.501,0.0,25.007,0.002,76.896,0.901,0.719,27.653,0.003,78.493,0.888,1.014,18.333,27.0,15.011,0.315,13.0,bot
260,codacy-badger,294,5,98,49,0.5,2.308,0.001,7.546,0.919,0.001,3.0,3.0,1.421,0.211,1.0,2.49,3.0,0.542,0.108,1.0,1.729,2.0,0.563,0.152,1.0,0.003,0.0,0.022,0.901,0.001,3.999,0.001,9.601,0.861,1.104,2.316,0.001,7.558,0.918,0.001,58.8,58.0,1.095,0.008,2.0,bot
261,code-inside-bot,300,1,2,1,0.5,2.013,0.001,6.073,0.901,0.002,150.0,150.0,175.362,0.413,124.0,1.0,1.0,0.0,0.0,0.0,5.769,1.5,4.985,0.432,10.0,0.003,0.0,0.004,0.076,0.007,11.8,1.997,10.101,0.424,20.007,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0,bot
269,codeforiatibot,300,6,10,1,0.1,0.551,0.641,0.426,0.415,0.802,30.0,11.5,48.037,0.638,20.25,1.8,1.0,1.398,0.333,1.5,1.402,1.0,0.774,0.225,1.0,0.296,0.0,0.594,0.278,0.0,0.476,0.288,0.404,0.456,0.683,0.137,0.001,0.237,0.691,0.234,50.0,8.0,108.361,0.77,9.0,bot
276,cog-creatorsbot,293,6,2,1,0.5,7.075,1.626,9.578,0.644,21.665,146.5,146.5,198.697,0.48,140.5,3.0,3.0,1.414,0.167,1.0,97.667,80.0,101.658,0.457,100.5,681.6,601.945,723.839,0.47,720.544,10.6,10.6,11.584,0.386,8.191,2.445,0.001,5.445,0.827,0.826,48.833,3.0,112.759,0.788,0.0,bot
279,commonjava-bot,123,2,18,1,0.056,16.768,0.0,49.833,0.896,0.979,6.833,6.0,4.396,0.318,5.75,2.0,2.0,0.0,0.0,0.0,3.237,3.0,0.852,0.093,0.0,2.298,0.001,14.026,0.971,0.001,52.927,4.328,79.179,0.708,73.242,1.8,0.0,8.862,0.958,0.0,61.5,61.5,31.82,0.183,22.5,bot
280,conan-center-bot,188,5,1,1,1.0,0.234,0.112,0.417,0.638,0.248,188.0,188.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,188.0,188.0,0.0,0.0,0.0,43.781,43.781,0.0,0.0,0.0,,,0.0,0.0,,0.167,0.091,0.208,0.598,0.269,37.6,2.0,52.653,0.632,63.0,bot
281,concourse-bot,12,2,5,1,0.2,111.327,23.579,214.822,0.751,115.56,2.4,2.0,1.517,0.3,3.0,1.4,1.0,0.548,0.171,1.0,1.5,1.5,0.535,0.167,1.0,2.95,0.002,8.336,0.749,0.006,171.571,63.7,255.344,0.634,153.103,125.488,23.396,249.227,0.766,89.734,6.0,6.0,2.828,0.167,2.0,bot
282,confs-tech-bot,300,3,1,1,1.0,2.02,0.0,7.816,0.896,0.038,300.0,300.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,603.911,603.911,0.0,0.0,0.0,,,0.0,0.0,,2.124,0.0,8.076,0.894,0.039,100.0,93.0,12.124,0.047,10.5,bot
284,consulbot,300,3,1,1,1.0,6.193,0.002,32.675,0.963,0.006,300.0,300.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,1851.623,1851.623,0.0,0.0,0.0,,,0.0,0.0,,35.758,0.724,70.554,0.66,36.481,100.0,1.0,171.473,0.66,148.5,bot
285,content-bot,240,4,2,1,0.5,0.059,0.003,0.559,0.946,0.003,120.0,120.0,135.765,0.4,96.0,2.5,2.5,2.121,0.3,1.5,80.0,24.0,103.116,0.506,91.0,1.384,0.206,2.218,0.632,1.969,4.963,4.963,4.951,0.353,3.501,0.111,0.002,0.889,0.967,0.003,60.0,33.5,66.788,0.465,44.5,bot
286,contiamo-ci,5,5,1,1,1.0,0.144,0.0,0.288,0.666,0.144,5.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.577,0.577,0.0,0.0,0.0,,,0.0,0.0,,0.144,0.0,0.288,0.666,0.144,1.0,1.0,0.0,0.0,0.0,bot
287,coorpacademybot,118,3,2,1,0.5,18.225,0.003,38.558,0.795,23.999,59.0,59.0,41.012,0.246,29.0,3.0,3.0,0.0,0.0,0.0,9.077,6.0,9.278,0.523,11.0,144.648,48.027,240.815,0.548,181.174,20.991,13.019,18.728,0.365,7.742,8.198,0.002,24.562,0.875,0.011,39.333,4.0,61.199,0.599,53.0,bot
288,coqbot,81,3,1,1,1.0,26.759,0.936,70.017,0.859,5.088,81.0,81.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,81.0,81.0,0.0,0.0,0.0,2140.749,2140.749,0.0,0.0,0.0,,,0.0,0.0,,19.545,0.662,50.311,0.857,5.187,27.0,33.0,22.605,0.362,22.0,bot
289,coreosbot,300,1,1,1,1.0,6.25,0.0,11.903,0.774,6.277,300.0,300.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,1868.673,1868.673,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0,bot
291,cow-bot,206,6,7,1,0.143,10.773,0.464,33.236,0.856,3.302,29.429,14.0,40.302,0.588,22.5,2.286,2.0,1.38,0.304,2.5,5.568,2.0,8.258,0.595,4.0,40.657,0.984,103.284,0.739,21.227,19.562,9.995,24.91,0.617,22.582,10.825,0.322,40.335,0.874,2.258,34.333,15.5,40.253,0.552,64.25,bot
292,cozy-bot,272,5,66,2,0.03,2.36,0.04,7.983,0.874,0.65,4.121,1.0,9.737,0.656,2.0,1.121,1.0,0.569,0.104,0.0,1.902,1.0,1.675,0.373,1.0,0.469,0.0,3.34,0.922,0.0,4.032,0.307,10.354,0.829,2.367,2.568,0.001,8.492,0.84,0.574,54.4,24.0,77.703,0.618,44.0,bot
293,cppalliance-bot,300,1,13,4,0.308,6.582,1.21,12.915,0.747,5.823,23.077,8.0,33.117,0.627,22.0,1.0,1.0,0.0,0.0,0.0,2.727,1.0,3.211,0.469,2.0,4.751,0.0,11.976,0.685,2.297,13.261,5.686,18.307,0.636,13.049,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0,bot
295,craterbot,187,2,1,1,1.0,8.105,1.845,17.015,0.729,9.84,187.0,187.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,187.0,187.0,0.0,0.0,0.0,1507.474,1507.474,0.0,0.0,0.0,,,0.0,0.0,,5.357,2.111,7.248,0.622,6.72,93.5,93.5,94.045,0.356,66.5,bot
